class,uuid,image-0,image-1,image-2,image-3,image-4,image-5,image-6,image-7,example_im_0,example_im_1,example_im_2,example_im_3,example_im_4,label
tv,ffddd97697524f20858e0ec577c81b5c,d64c2fc3-5e39-4b7b-a1cc-740b6a11bf3f,6e4385f5-41bb-43cb-bee8-0bc763489a77,194fdd39-ceef-4179-9f79-b4cd192fa825,d99503c4-cd4c-43e1-8c99-15361a5aceb8,53959112-a3eb-46e7-9260-e639fa226606,455e7816-4175-4bfe-a40f-dea0eab8d3f6,dc9ea765-0656-4d84-851f-80552d5a6341,f732e9e3-e548-4eee-95c4-267237507bc4,8bfcd1acbcac4d4.png,a1e2fb99f594458.png,0b63eae4ea7d4f5.png,76b61b3fd34642a.png,0a51ad5187c8423.png,bad
keyboard,cc7e7ed38d9a469ea499893295bc767a,35136586-87d9-425d-8191-76e4b770f20d,643b0b6b-fe2d-45e5-ae3a-30dbd47bbbe5,daece9ed-54d1-400d-8aa4-cbcbbbeb6c7a,f56de291-4ff6-4e15-93f2-52d7e6624a2b,aff1037e-790f-48bc-8dcb-79f0857dce0f,524b630c-96b9-464d-8981-fd7a4dbefbd1,2c05157c-f411-41d4-acac-7c5db3ecb6ea,a90fb73b-2701-4dd7-910c-2ed1a1b7c275,6fce794b56dc46a.png,77fa3241539b4b8.png,9fe4e88a61ed490.png,14018bd25ef94df.png,f59dacf93c6d447.png,good
wine_bottle,9bcb5cc753e4486ab98440c1a100e8ff,ae8b1b68-4648-457b-a93d-e7c59f376e1c,9f31302d-6b4e-45c4-bb03-fa66a82b1810,66a9f670-9e37-4d62-b816-26010cabdc34,b42c5266-132c-43af-90b5-e7bcab15d11e,1d7701f9-81b1-4375-861c-6efb7953c29f,c6f5cf4d-5c9d-4978-aef5-ccbec46bc0b1,58f15194-1b84-42cb-ab28-1c13a667ba1d,a8870b71-68c8-4679-8cc0-d4bd44b46b06,8ab585e21fa949c.png,c904283c47774e8.png,8362a99e8a3344f.png,9d915300d3f24b0.png,48ac0123b31f4c4.png,good
speaker,5a4c0af2a7ea49bea84386a413ed44ab,aa8b81d0-3060-4aac-aeeb-acd5636a4f3f,f5b5a2ef-2633-42af-846a-eb1a9eebdc36,ef4e6e82-9a71-40e5-a661-190fc36f9e0a,c44e6e82-5914-46cd-86eb-39bf1b7221b4,4af425fa-d606-440e-9030-2019897bc161,97056b97-0a8d-4296-9209-773973cfce3a,b029472a-eb0d-4b18-92b8-eebbf5a7fc87,7796d578-5996-484e-8930-e10b52245d90,4b5740a2699c429.png,906196b73fcf447.png,4f3c6c2770574b1.png,d498db5a9e214b9.png,e4449a0ce52c4f6.png,good
helmet,c1516dc3d0ea420b9246334a94e5681e,31eff7d7-259f-4086-aceb-e91cd71410c9,9942aef4-f932-452e-8a97-f8a23ccc875d,989d600e-c61c-4c2f-a2b6-dc352c4995fc,7fc9ccf5-354e-449c-90b6-94274da1e8ba,faa32281-3345-4b2f-bdde-deb67e88773c,29c90393-223c-4cd2-9101-5339fcfa3cad,7e9f6680-38af-4322-9046-b0d3f9bbec1d,51f34580-adb6-494d-98d9-056e786bd8db,c941639a98af41e.png,e3ece92478c14f5.png,180e359e732049e.png,0016024541d946a.png,d2cb9700f27e4e7.png,good
speaker,d5f96960355d4a8ebfd4cd106eab23e5,b1d52575-abe9-4583-a008-12e9f41fc3a6,95755301-de24-4d5f-8b6a-43b0d828cae0,ad5d4008-4107-4b6f-b79c-c42a51436a46,a8574f21-f86e-4e8d-b383-d1b2fa8fc7ea,1773b38d-3e51-4619-bccb-1724cacb4ada,afdc915e-e1df-469a-be49-44e48462f6b6,b0007af1-34ac-42ef-81a3-5d157d24dd51,769cc916-cbc5-45e9-83c9-4b271cf084b2,354e849c2bbd4c9.png,7dbf352351a842a.png,6454a9eaa61d436.png,2256528ef1ae44d.png,c4b1037fd0124c3.png,good
trash_bin,633604ea56bb474da3cbded356e2da27,22a6ec11-918f-487b-9aa7-86b79dde4336,794d387c-480b-4af0-ad05-c6786221e3b6,50e0f830-2423-4766-aa98-e1c06bf18801,2941cd17-1adf-4be2-bd0f-1cc1cbce2a1e,df953e09-067c-4ea2-83f4-02ca1dd8d9d5,b92f7fe1-29aa-4752-8940-2d524f1ce556,0617d092-6252-46aa-9841-1c5f9c23371b,f34c6428-2fb3-4a05-86a6-0728aa63b1cb,2f0265e8a5704b9.png,6ed840f8c2af46b.png,a81fefe7b8d045f.png,68e8b2d24ba74d3.png,a867a5fa8d3a42f.png,good
watch,c896964ab7274bff810ac5ae9165cf8c,ccdbde01-cdae-4b7b-9ab1-a345c4bf41ae,a14dadff-5c43-419b-ac7e-84e20ef0ffb7,48fab6b6-f28a-4d25-aab4-051015b5235e,4edb2a99-bba6-44ae-a928-aa51911c5064,238904de-58f6-42ff-b0b4-1602ae01d515,bdbf0f92-c7cd-46ab-a3fe-dc54f1c62e83,e81202f3-4534-4a9f-a6f2-6a94a94bb8d3,6e518bd1-db52-4c35-b1d2-475ba3552374,9ab5dd96a3b0423.png,e899b58d56e7452.png,24d884332a62482.png,e88282e33930495.png,6db8487ae1fd406.png,good
watch,db6ad304929748e284e4508fe7463fce,6db9050a-531b-4f41-980d-3ce7de10b64f,2fa12b2d-2416-4b3f-bb19-3f1daf49def9,8bed1cad-6d4c-4ac1-b56b-745568092f63,c378f53c-2802-4059-85b8-6dec931f32a6,58d9bb66-d8cb-4fe3-9d68-89231f1147da,0373622e-20bd-481c-9ab8-23340a1d8bc7,e28c3001-937a-4062-a730-6dfba673adfc,f1794b25-d6b9-4028-831b-3f08a1acc43f,88121030717c410.png,2dc590de12b141e.png,e899b58d56e7452.png,482a168858274d0.png,48ae13e55b26414.png,good
wheel,e959abc9e92046ca9f43a0124d269f22,72ae172f-2ca9-4f5a-ab60-057fc4cd3452,2a6110b3-e9e1-4779-bc8b-27c110fb749a,e0e4929e-f209-49e1-aff3-5262e804f210,1f6bf7be-e67a-4597-a11f-1b3731545edc,0c72dac2-90bf-4e68-aef4-e25b03b121c8,b66c7110-8dd7-43ef-be74-97d982f28e81,d122e5cc-8c53-4c91-95df-8c0cdb9f56a0,eff9cdf0-6b24-4cdd-ab74-a0b1d0a860b7,8bb90117a50a40e.png,e429b7ac6499431.png,2e956daa84f24a4.png,147e37cd19064e5.png,79f3152c8bfa4e7.png,bad
tv,2ea4bb4583ef47b583631eefb8f236bb,cf17c2de-5891-400e-9161-3e6718f925a6,a4aa669e-570f-4345-81a1-4fb76de4351e,2a5916c5-5e69-4213-aa79-112ddcbd74a2,e154abed-8be7-4ead-828d-db65ef3e0763,ca5551e2-9900-4dd3-9f1c-2294efbe0c7b,541735e0-e89a-47c8-bb83-6fea5c5f8196,2cddc9bd-c463-4f95-927f-85e9d3210d4d,4a0c5103-cf2b-48e3-89bc-ef2aab37c0a5,7b7adbac3650476.png,65ccae6e87ff485.png,19aecd05fd164b2.png,28ee935f28ed4bb.png,bd760601c849418.png,good
helmet,8867d6a53e764d00b2eb11627451543d,73a30ab4-9cee-4a1a-a875-d17eb5ec3ba3,a02d4b5d-e8fc-460f-90dd-e67b70b9d076,c967820b-352a-46a8-af2e-f761d0576606,fe7a1b7d-57c0-4e6e-a79f-3a8ab98c8002,a69bbb59-a222-4833-8cb1-1157838b0bf5,4846991c-81ea-45a6-8dbd-8530425bca39,6b3bb35f-73b5-4255-8ffb-fbe2b3be34fa,18e215cb-0215-4872-8b0d-2f0c211297c6,040788d44e71404.png,18df90a0578149c.png,1c203b74987a4bc.png,e74a9617cebd4cd.png,0b957583b090490.png,good
spatula,e0b20bdfef7b468395cd4abeffd5edda,7ac535d5-7241-4e0a-8239-a53409c81225,a0b25a9f-f5db-48c0-890e-6193219cfc19,e5feeb1c-c50f-4e49-834b-3671d4ced731,6d281941-4075-4b74-93ac-d2c61595049c,22cb9dae-c373-4401-937f-6432ed2e404b,63f0f972-87ae-4864-879b-7ad73fdb0175,93a6b40a-a3fe-42f2-a5b8-8c1bf8727464,2a42ce43-9744-40c5-b4c8-98a5a37e7ae9,4aec08c455ae4bc.png,b7b778935f2d4b4.png,0bc87f5264e94d5.png,31624f101bec4ff.png,e9817d6cf8124d9.png,good
hammer,f2a3fcf5c2a745efae520f0a7a61fb09,87c46b70-7b2c-464c-bc2e-29c82671eb84,34d5e26a-fe91-439e-a93b-e2cd04f7fd89,51af7c14-e71f-45d2-9143-f00de04279df,6b34ed25-33c2-4919-b33f-198acfb3b526,9edea35d-3391-422b-8cf6-12e18ca9083a,895005fa-ad0c-42ba-b42c-b8696c25b8cd,c5b6565a-6859-4ce0-a5d5-2006c28784fa,06cb0256-004b-453f-bb63-318ccd3d6b92,90d2d3ee8acd476.png,aaa883c741b74b2.png,54907c9febd6490.png,1f2a73383594429.png,27d46804ac824b7.png,bad
hammer,7f1e9d65b3e9454a844708ecc3311ebe,7ed02d33-3475-49d5-b233-55d08c396cb2,b8d0af86-40bd-4f07-8514-ab46b17a1d54,698a7b3e-d677-4eca-a86e-cc2cd49cf15d,8f56ef73-45fc-4821-846e-7431878d3dbf,b6bdf21e-efbf-4def-936e-9ecc1be10006,3810ab38-b367-42d2-a60f-70e353b7c72e,9580bd7e-a6c9-4455-a7b8-f8feb157d84e,5560d07e-2829-4147-a0d4-9829a1a8eae3,b09e3c8ae244486.png,29baee2d2e784ce.png,e5ceaecdd77b40b.png,91e540cf251a4bb.png,af630b4c4d9340e.png,good
chair,db3e309bf60f490dbfd297f4c4d59478,1b9421eb-754a-4063-8ce3-a421502da6a8,8cf33535-342f-42c9-b131-96db44e43f5d,384fd37d-b0f2-4c7c-a354-85e808244edf,f5a90704-7fd5-4932-a158-08bbf75e2dcf,bc5435f5-cd59-41ea-b93c-674672a7aac2,abacb295-ba9a-435c-bd17-282d492e5f97,40ac5c89-275c-4ed4-a609-3c6c1732828f,b497d1aa-9c37-41cf-8927-4e95e649b4e2,0906f10fa9bd4c3.png,e42bb43ce6654e1.png,dfea29b44617463.png,40fd3e1b709e413.png,072f66bdd29d4fe.png,good
ruler,db1883e2b2e04edfba72fa35751a7694,074a916a-69a5-46dc-9592-8f1e727c6508,35d22cc7-11e6-4afc-8dc5-f3a85a532517,867ecf32-d220-4d0b-a4d5-cdeffaa252b7,b8c0e0ed-9af0-4a10-9476-ed0c97a682dd,bb288e48-05d0-465a-aaff-01cb81c3d308,dd4b2ece-2cf0-49b4-b9e4-09a0251956bc,325b8651-29e6-41bf-981a-98b52b4774d3,5f19e743-7dd5-4dc2-a0c1-c1c8be440cef,d19db95f027048e.png,c2b7e7f7905948a.png,751f246098224c7.png,6b0b3ab5b30d431.png,cd6dfe9edc61431.png,good
backpack,14d4adabb2564307ae69838eb4cac51a,679b07bf-6ef2-4fc0-ae55-46670e14b6b8,8a5fd237-eebe-4561-a085-b7dba4d984b5,df448893-be67-40dc-9d9b-043cff14b283,5478fcdc-a679-428e-bb76-1eab1ea931ed,d45f9288-9e94-4de8-b3a3-014b67850405,06003592-605e-4b5c-96ea-89a21805cb75,cbfde424-33ec-499a-a535-6b7bab0688ce,e81377bb-8d75-4d3f-be6f-0f40c6c19528,322b151f1cf1406.png,1be1db144b314ba.png,cc712228e6af4b1.png,c43303471e034ae.png,a573545c4066475.png,bad
orange,d601e5a02eae4b8eaa65b931a71c7ab5,c8087b9f-12e7-48dd-b5ce-73a8440635b4,11eafaed-8dbb-4acf-b208-d7a636edb768,ebf0573f-83fc-47c2-89ba-bb8aa2afc53e,47496c4c-7f3e-4f81-b4b4-483b57042ee0,9acd638d-c268-4168-9091-1e7f545b20d4,f2a5e0aa-bdf1-4612-b036-6ce419b3a103,e272f9ee-8744-4eb5-af5d-0b33317c746b,bb4c040f-5020-4ae8-a5aa-bca9c7f20e2f,be19656d823a498.png,647eb9831540486.png,402996e6aa9f41c.png,209870d6d0414bb.png,c3c63565c78a484.png,bad
keyboard,e3a509e7cf844bd88bd749fbd12ac3a4,de6b1f59-4567-4103-95d2-2c095492b4e6,5ff2a038-4246-4f53-ae51-f66cfa8ebab2,0f434040-fda9-4b87-a728-3a46ea9b1f75,c39e3414-c0d8-463f-804d-bf2862e6bcee,151772ad-02c2-4fd4-bb66-5cdcca1435d1,d951af52-e96a-4ad7-a4a0-109526b1b1ae,f4b54012-59d2-4fe6-b09d-5d78f3a095c8,6791e5ff-6915-4f10-a45d-8e66dba346ea,1502820929ff43f.png,7cd6b1c1ec78490.png,3de1ab4b9298426.png,f34fd9c09f2647f.png,47f02af229d94f0.png,good
speaker,8905eca2623a4d519d037b4de5bea0a4,7c284baa-e30d-4a31-9a45-6ed4008ed159,3ea90e22-4550-4555-88e5-9daeb4f7f817,c1e1dbc8-0135-4d95-8483-c8a08a5ff327,7223ea59-be29-4c15-bfab-387375ac98bf,458b75bd-4c8d-4d73-96f3-32300c52dc08,0f4ff601-430f-4231-8ff3-25ead42244ad,9af6d9bd-e0f1-4a21-9371-4a18e509cf50,cc8001ed-fd6e-498d-a266-172da6f0bd81,39d6b85e8738456.png,a4417ccf5ed6445.png,fde81de7f5b6445.png,4bd16071510d4cd.png,120c273411d04fe.png,bad
chair,9585a0b5ddee42c58aca9147dc7f7880,c2929cf7-bd99-448d-b4da-5f980512d7f0,9e523fa2-e7c9-4cad-ab8b-c7b3b476a38a,6515aa39-1762-4d05-b91e-97fa5d77fd73,cd9bf2e8-c2c9-470a-88ba-aea2cb4a46fe,7b42569f-c867-4a68-8dbd-f32aa67315ea,7d354e98-24f5-49c0-8b13-9f4304d6f8de,9c4129e4-1de0-4f6b-9e0e-c16d03fe4296,ba66d28a-cfeb-41d5-a9e3-ab89b5d6e7b2,411c01c0fbd74a8.png,9d0ad6e737a3490.png,e84cb2378f81434.png,5fd96551151b404.png,0e48b2f4269a415.png,bad
watch,e1cfbd0c0f2e4cd3acec12b8ab07a81a,f84a8610-7132-4ea1-8b7e-0b21588f7682,1c12d053-afea-4bae-9672-86a3a1cabd65,6fcd446b-219b-4574-83f0-7dccaeab0441,c5cb8dad-d0c2-457e-99ec-07118a1ddfaa,73b59709-05f3-4506-8faa-cc3eac014e9b,ee4d448e-0085-4a9b-a1e3-41fda254960a,cad63638-a6ea-45be-b629-517525845a6a,a26cf50a-f7ef-4950-a974-560434ac4610,64f7ecd8155d488.png,2843955827db46e.png,3888de7688b7455.png,275e2bb2a4fa418.png,8e3044230ce344f.png,bad
cellphone,f1688d803c324999b257b5df1c8cc804,a5156fd9-3efe-4058-9e58-9ca855ad405a,3f01e5a3-17a1-4847-86e0-b03fdd181239,69df5aa6-ab95-4057-ab76-bf4ccaa38a9d,922155b2-49a5-4de9-aa20-842c61e9423a,a8c0a88e-fbee-403f-b723-12a0ff681d0c,c7f46ec8-f75c-4bc7-a13d-2ffaeb3e4ced,5bc7ad80-c6d0-4e83-a8d5-ef70bde25c2c,1f57e54b-cef5-4c0f-be40-eb2662a3a8c3,8426caf44271460.png,8b0fa5d2577247f.png,0b78b347fde14d1.png,6c7847c37fa94c3.png,ee23c5a3bce0485.png,bad
keyboard,a2b56b6bebfa4388a349eba131572a6f,57bddcb1-c320-42b9-9e09-6e845afff232,bad13380-5bb7-4c87-b159-a4bbdfaa6cd6,1fa755eb-e917-4f7b-9b33-5031217e6773,3e3dfed4-13e8-4c29-a595-bc58493b9de6,2d60a4fc-ad73-4ccd-a654-65b7eb046ccd,cd8f4a8e-0581-4eb5-870b-a0f6d37556de,1615e4f9-bdb3-40b7-9180-12023d6f998d,212926e4-5034-41ff-bbf7-0130b2ae10f7,40ecb5560b36442.png,66e633a294de43c.png,f555345fe3304b7.png,7994867406ab411.png,4148955bc0d0460.png,good
tv,6813826f9126436fa1248d7eeb792f66,03415056-2535-4b72-a6ae-2c3380e9662d,446069e3-66c4-41df-b721-7e591fb0a5db,46c0e552-834e-474e-8a3b-dbf059ff79eb,4db9ec49-ef5d-469c-bb71-585188618234,1270282c-a6ac-4560-a78a-0a2209a2a67a,d8747aa2-87a5-43f0-8b5d-7e3921bc5b9d,f6b0b26b-6d79-4af7-8a43-923f907fa890,023cd399-f174-4bd2-8920-1de654f80e1e,dd979b641ba9469.png,84edd2bb76744ae.png,08880aba267540e.png,56afb7ef4feb467.png,cf101fe6e50c438.png,good
milk,9f5c4bcb43ab44ecbec7827aa404043f,e25ddc93-59ea-43b5-960a-55f05d98d220,563c553e-eff9-4f53-aba6-e7d74d6d4489,5f962697-2fe4-4dbc-af95-b65a5280a9bd,f81b88f6-b32f-4254-8a0a-2061ac95492f,e8fc7e1f-8545-4413-9e95-36ef3b135076,0c13f4df-5415-4c54-89cb-2365d7317f10,750e9d69-9672-45e2-a2e7-17e171712267,5b3b9eb3-bed7-4056-9ebe-5a2969d16916,845db5531d54499.png,6f58fa5b1621409.png,a700b2bed944448.png,4575e38e00b4422.png,14ae863fddea490.png,bad
hammer,33e16734d72f43829cd6744bb6ed7b5d,9f33ff1a-427b-43b3-bb7a-c9fe0448263e,83bf4b61-1411-49e6-b5c6-9ee838404def,e9099c82-cd3a-4ef9-9a99-f04a627717ad,b2f727c2-5911-4ccb-9eb4-96a8fb33a9e3,ee90c51a-37e1-4377-9c48-51f250b830cc,425544f2-59e2-4996-a95e-3b251ea9fd8b,517951c0-991d-40a2-b943-e1142f4604b9,51101f6f-5703-4ad6-953e-599ff4e540cd,ddca54b7755f4f9.png,66c844f161f24ff.png,7428983618d2406.png,32c642d9804f48e.png,9620f77c9695442.png,good
bucket,4e1634929caf4f85a608fa17b55a1ea3,72a61cf0-9693-4e26-a5b3-0078b1e8ae41,dddd3fa5-b286-4330-a9f1-16419fde041c,45ef2d9b-4fe1-4f7b-b10c-b15c8ad07277,8097130a-f817-45b2-8974-6ade9421384c,fc9e1718-e1fd-43a0-b87a-bc2a1c65fe54,250e6824-6a2f-480a-998c-92c010a9f747,76ab54f9-0a00-4a9a-afb0-5c4910cc6588,aba9804a-f120-4bd3-b358-06ba1f4d7dd9,e853ac25e722498.png,65ac85902972469.png,e8aa097fa4de477.png,ea7d88a09f034b8.png,ea37f1f0ba594c1.png,good
trash_bin,e10b970f11e64a9ebef40cb15cb7326a,cc52d7cc-48af-4901-ab98-e69af38821c1,57a4e5d5-e1e4-4926-9b05-e463ce07d8f3,acea5272-07d6-48a1-ba82-9a6d980deb04,5009743a-0f87-4d6d-8533-93658853bd10,fd646272-a190-4d31-90da-36c0ffe92fc1,02ca246f-c3b5-49ff-814e-b6ecef3434c1,7974aed9-c0d4-4b1e-bb32-f981056e51f1,825f154c-0714-4ea1-b06f-dece115edd9e,4afae381669244d.png,d9f0b0a76180434.png,6b43b4efdc4e4dd.png,c8e346fe7b4345a.png,14d8ed501d6c457.png,good
trash_bin,6e0091ce0cf343f5ae18f85e9cb53d9a,ecf2a21f-0017-43f2-96e3-9da45a37972f,80d8155b-bebf-44b3-9e84-f03c5ab412de,2527c2fd-f852-48a6-8aac-6e846f541465,de0aa5ee-dd5e-416e-9eab-af8f177f26a2,ac05434a-42b1-42e8-bd12-26fd8ec62104,10e975cd-96e7-4b8e-9bc8-fff5f0b6d173,da3a7ea8-bac7-4765-a72f-3947acf7d32b,0ce072c6-0c53-401b-9398-952807d72adc,a0651fd8738b4db.png,ec70364bf7074f2.png,4afae381669244d.png,58e0f53f9327491.png,fda4662c6efb435.png,good
hammer,96593621652749e6b5ce75c6d36732e5,ffd1a205-cb31-4508-bd78-2eb583614d1f,27d4764e-ee86-406c-827e-b3be42c8fce8,599e8e32-b8e3-42f0-a41a-8420c6ba454f,b37a6a0b-2f02-4ee5-b0ff-b82fdda4c4e7,d0c26ee8-cd4c-4189-a7b2-c9f386043879,886ec983-3b36-4527-8fe4-db00b38816cc,ab71320b-6391-4259-b304-4ac79c77eab3,0ae4a57f-b80e-4ece-b76d-a45c0a11bb37,fa5b58980b9941d.png,b7e6366066bc4b3.png,3cb413dacd14475.png,72d4e6f3c3c6439.png,9a90c6349f2d40c.png,good
hammer,fcacea2d47be4434b52c8e56fdfbaf78,579fb7be-5723-4c3a-98c8-ad04d06027b7,d56138f0-6075-48fb-9c78-283e2186da58,3b948e5a-f8e2-4860-8651-379d08b3680f,bd49e4d9-2d79-425c-b4d0-75eff332eef2,7320e8b7-fea9-4376-822f-94d7e5f83349,d0011fed-0ced-4ce9-a9a2-9e6fabd6d79b,25161558-43bc-47fc-be48-4e0803bd9ef3,60bd8863-9cf9-43a1-85f0-10c53d8b4b92,aaa883c741b74b2.png,4ad6b3bd3c3e46a.png,fd4f542558af4d3.png,dda3820b010c499.png,3668eddf3b8a4aa.png,good
pitcher,07953bdd817e414ebb17dbce9fefb78b,b3ea6e7c-b4eb-4e2b-adf0-120552070ebe,176e8fd5-4893-47ae-80fb-3eaf219bf7f5,08bf0509-dcc6-42fb-8287-76a9236e34d3,8c28e9c9-001d-4f2a-ae1a-dfa419d6855c,c94aeeac-fa07-4e7c-9cf4-2fe6981d56a4,2c3d783c-476b-4966-bef8-70c5b638d11a,5bdc71dc-9d49-45b7-82d1-58922b26d59d,ecee79c2-1302-44d9-ab90-9adb0e3545a6,81c3d18245ae444.png,f238644e0ee6490.png,2fa96ad52c874ff.png,0e8b584d12ad4c5.png,636a3b65acc6414.png,bad
